"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
5795979,156,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-14","2004-03-15",2,1,1,,,,"1215:495","POLYGON((155 29,155 30,156 30,156 29,155 29))"
5795988,155,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-26","2004-03-28",3,1,1,,,,"1315:114","POLYGON((154 31,154 32,155 32,155 31,154 31))"
5795993,155,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-18","2004-03-19",3,1,1,,,,"1315:205","POLYGON((155 30,155 31,156 31,156 30,155 30))"
5795986,155,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-21","2004-03-23",3,1,1,,,,"1315:104","POLYGON((154 30,154 31,155 31,155 30,154 30))"
5795994,158,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-05","2004-03-05",1,1,1,,,,"1315:207","POLYGON((157 30,157 31,158 31,158 30,157 30))"
5795997,160,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-24","2004-03-01",3,1,1,,,,"1315:209","POLYGON((159 30,159 31,160 31,160 30,159 30))"
5795984,159,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-29","2004-02-29",1,1,1,,,,"1215:498","POLYGON((158 29,158 30,159 30,159 29,158 29))"
5795983,157,30,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-09","2004-03-13",6,1,1,,,,"1215:496","POLYGON((156 29,156 30,157 30,157 29,156 29))"
5796026,162,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-12","2004-02-18",8,1,1,,,,"1316:111","POLYGON((161 31,161 32,162 32,162 31,161 31))"
5796027,163,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-09","2004-02-09",1,1,1,,,,"1316:112","POLYGON((162 31,162 32,163 32,163 31,162 31))"
5796029,164,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-04","2004-02-05",3,1,1,,,,"1316:113","POLYGON((163 31,163 32,164 32,164 31,163 31))"
5796021,162,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-10","2004-02-10",1,1,1,,,,"1316:102","POLYGON((162 30,162 31,163 31,163 30,162 30))"
5796033,165,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-01-26","2004-02-02",6,1,1,,,,"1316:114","POLYGON((164 31,164 32,165 32,165 31,164 31))"
5796056,166,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-01-24","2004-01-28",3,2,1,,,,"1316:215","POLYGON((165 31,165 32,166 32,166 31,165 31))"
5796058,166,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-01-30","2004-02-01",7,1,1,,,,"1316:216","POLYGON((166 31,166 32,167 32,167 31,166 31))"
5796063,168,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-05","2004-04-05",10,1,1,,,,"1316:217","POLYGON((167 31,167 32,168 32,168 31,167 31))"
5796054,170,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-04-11","2004-04-15",10,1,1,,,,"1316:209","POLYGON((169 30,169 31,170 31,170 30,169 30))"
5796051,168,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-03-16","2004-04-03",10,1,1,,,,"1316:208","POLYGON((168 30,168 31,169 31,169 30,168 30))"
5796072,169,32,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-02-17","2004-04-09",17,1,1,,,,"1316:218","POLYGON((168 31,168 32,169 32,169 31,168 31))"
5796073,169,31,"NOAA Southwest Fisheries Science Center (SWFSC)","Caretta caretta","758","2004-04-09","2004-04-09",1,1,1,,,,"1316:219","POLYGON((169 31,169 32,170 32,170 31,169 31))"
